"ID_Vaca","Edad","Lact_N","Lact_Dias","Leche_24h","Dias_Enferma","Fecha_Evento","Comentario_1","Comentario_2"
"3073","4.8","3","366","39.4","-360","27-03-24","AD","ENR+NE4+GE6+ME3"
"3080","4.8","3","258","46.8","-95","4-04-25","PD","BIO4+ANTIMASTI6"
"3080","4.8","3","258","46.8","13","21-07-25","AI","NEO+ENR+ME4+GE5"
"3086","4.7","3","293","39.5","-596","16-10-23","PI","NEOG4+ENRO6"
"3086","4.7","3","293","39.5","23","26-06-25","PI","BIO4+ENRO6"
"3087","4.7","2","301","0.0","-619","15-09-23","PI","NEO+ENRO4    +MEL2+LINALTEN4"
"3094","4.7","3","249","49.9","-591","4-12-23","PD","NEOG4+ENRO6"
"3094","4.7","3","249","49.9","-269","21-10-24","PI","NEO+ANTI4+ENR6"
"3094","4.7","3","249","49.9","-185","13-01-25","PI","MEL4+ENRO7"
"3096","4.7","3","273","40.1","-723","1-07-23","PD","MEL+GENT+ENR4"
"3096","4.7","3","273","40.1","-295","1-09-24","PD","NEO4+ENRO6"
"3110","4.6","2","323","0.0","-430","29-02-24","PI","BIOF4+ENRO6"
"3111","4.5","3","239","47.5","-674","22-09-23","PI","NEO+ENRO4                             +MEL1+GENT4"
"3111","4.5","3","239","47.5","53","18-09-25","PI","BIO5+ENRO5"
"3117","4.4","2","394","36.6","147","19-07-25","PD","BIO4+ENRO6"
"3120","4.3","2","377","37.3","-118","13-11-24","AI","BIO4+ENR6+ANTI5"
"3120","4.3","2","377","37.3","112","1-07-25","AI","BIO4+ENRO7+ANT6"
"3120","4.3","2","377","37.3","167","25-08-25","AI","MEL4+GENT6"
"3120","4.3","2","377","37.3","189","16-09-25","PD","NEO4+ENR6+ANT1"
"3123","4.3","2","304","0.0","8","31-05-25","AD","BIO4+ENRO6"
"3124","4.3","2","355","37.2","-320","17-05-24","PI","NEO4+ENRO6"
"3126","4.3","2","216","41.3","-134","7-04-25","PD","NEO4+ENRO6"
"3143","4.2","2","412","35.0","-249","31-05-24","PD","BI4+EN6+NE4+AN6"
"3148","4.2","2","321","38.4","-446","15-02-24","PD","N4+EN12+G+M4+B3"
"3148","4.2","2","321","38.4","-231","17-09-24","PI","NEO4+ENRO6"
"3148","4.2","2","321","38.4","-126","31-12-24","AD","NEO4+ENRO6"
"3148","4.2","2","321","38.4","126","9-09-25","PI","NEO4+ENRO6"
"3163","4.1","2","401","34.3","-232","28-06-24","PI","NEO4+ENRO6"
"3163","4.1","2","401","34.3","-183","16-08-24","AD","NEO+ENRO4+ANT6"
"3163","4.1","2","401","34.3","178","12-08-25","PD","NEO4+ENRO6"
"3170","4.0","2","317","39.1","96","14-08-25","PD","BIO4+ENR7+ANT5"
"3172","4.0","2","387","36.6","-349","17-03-24","PD","BIOF4+EN6+ENLA1"
"3172","4.0","2","387","36.6","17","18-03-25","AI","NEO4+ENRO6"
"3174","4.0","2","518","25.1","19","9-11-24","AD","BIO4+ENRO7"
"3177","4.0","2","279","41.5","-292","29-08-24","AI","NEO4+ENRO6"
"3184","3.9","2","256","41.5","-166","25-01-25","AD","NEO3+ENRO6"
"3200","3.8","2","272","42.5","47","10-08-25","PI","BIO4+ENRO6"
"3212","3.8","2","273","45.2","-270","26-09-24","PD","BIO4+ENRO6"
"3212","3.8","2","273","45.2","-246","20-10-24","PD","NEO4+ENRO8                            +ANTIMAST4"
"3214","3.8","2","261","41.4","34","8-08-25","PI","NEO4+ENRO6"
"3215","3.8","2","303","43.5","-122","22-01-25","PD","NEO4+ENRO7"
"3224","3.7","2","249","40.3","-340","11-08-24","PI","NEO4+ENRO6"
"3230","3.6","2","208","42.2","-337","24-09-24","AI","BIO4+ENRO6"
"3230","3.6","2","208","42.2","-267","3-12-24","AD","BIO4+ANTI6"
"3230","3.6","2","208","42.2","-125","24-04-25","PI","NEO4+ENRO6"
"3231","3.6","1","468","31.2","31","10-01-25","PI","NEO4+ENRO6"
"3231","3.6","1","468","31.2","67","15-02-25","PI","NEO4+ENRO6"
"3241","3.6","2","209","29.5","-119","29-04-25","PD","BIO4+ENRO7"
"3242","3.6","2","267","38.5","-180","31-12-24","AI","BIO4+ENRO6"
"3246","3.6","2","264","34.8","34","5-08-25","PI","NEO4+ERNO7+ANT4"
"3251","3.5","1","540","29.6","39","7-11-24","PI","BIO4+ENRO6"
"3252","3.5","1","414","0.0","-55","9-12-24","AD","NEO4+ENRO6"
"3252","3.5","1","414","0.0","-24","9-01-25","AD","NEO4+ANTIMAS7"
"3255","3.5","2","231","43.2","-369","31-07-24","PI","NEO4+ENRO5"
"3255","3.5","2","231","43.2","-84","12-05-25","PD","BIO4+ENRO6"
"3259","3.5","2","249","36.8","-130","9-03-25","AD","BIO4+ENRO6"
"3266","3.4","1","353","0.0","-140","15-11-24","AI","BIOF4+ENRO6"
"3266","3.4","1","353","0.0","-127","28-11-24","PD","NEO4+ANTI6"
"3266","3.4","1","353","0.0","-108","17-12-24","PI","NEO4+ENRO6"
"3266","3.4","1","353","0.0","-12","23-03-25","AD","NEO+ENR4+ANTIM5"
"3271","3.3","1","312","0.0","-151","15-12-24","AI","NEO4+ENRO6"
"3272","3.3","1","538","30.1","102","11-01-25","AD","BIO4+ENRO6"
"3275","3.3","1","523","28.6","2","18-10-24","PD","NEO4+ENRO6"
"3279","3.2","1","530","27.5","234","31-05-25","PD","BIO4+ENRO6"
"3283","3.2","1","515","29.9","166","8-04-25","PI","BIO4+ENRO6"
"3286","3.2","1","446","34.9","144","25-05-25","PD","NEO4+ENRO7"
"3289","3.2","1","460","30.7","5","23-12-24","PI","NEO4+ENRO6"
"3292","3.1","1","436","37.7","166","26-06-25","PD","NEO4+ENRO6"
"3307","3.0","1","433","29.7","109","3-05-25","AD","NEO4+ENRO6"
"3314","3.0","1","381","30.4","99","14-06-25","PI","BIO4+ENRO6"
"3323","3.0","1","417","28.8","9","8-02-25","PI","NEO4+ENRO6"
"3323","3.0","1","417","28.8","39","10-03-25","PI","BIO4+ENRO6"
"3323","3.0","1","417","28.8","49","20-03-25","PI","MEL3+ANTIMAS6"
"3402","2.5","1","233","26.9","9","11-08-25","PI","NEO3+ENRO7"
