"ID_Vaca","Grupo","Estatus","DIM","Leche_AM","Leche_Total","Leche_Anterior","Variacion","CCS","Casos_Mastitis","Ultimo_Tratamiento","Proxima_Revision","Ultimo_Evento_Vet","Toro","Cant_Insem","Fecha_Insem","Dias_Faltan","IEP","Servicios","Categoria","Estatus_Repro","Conteo_Mastitis","Año","Mes","Ubicacion"
"3370","8","Alta","243","16.35","33.3","33.2","-0.18","1442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3377","8","Vacia","270","16.37","32.9","31.7","-0.06","2128",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3381","8","Vacia","265","16.7","33.6","33.3","1.54","2053",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3386","8","Insem","272","17.71","34.7","33.2","0.61","1965",NA,NA,NA,NA,"INDEPENDANT","1","12-09-25",NA,"359","1","Vaca","Inseminada/Preñada","0",2025,"Julio","7PULILI"
"3387","8","Vacia","254","16.93","33.5","32","-0.77","1870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3391","8","Vacia","255","15.86","32.3","32.4","-0.25","1697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3395","8","Vacia","254","14.55","32.8","31.5","0.2","1515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3398","8","Alta","251","17.16","33.4","34.3","-0.42","1768",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3399","8","Vacia","260","17.34","35.6","34.3","-0.01","2233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
"3400","8","Alta","248","12.09","27.1","27.3","-0.11","1405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vaca","Abierta/Vacia","0",2025,"Julio","7PULILI"
