"ID","Nombre","Categoria","Estatus_Repro","X1","Es_Vaca","Es_Recria","Ficha","Leche_Ult","DEL_Ult","Año","Mes","Ubicacion","ID_Num"
"-604","S/N","Vaca","Vacia/Abierta","-604","TRUE","FALSE","11-08-23 AD BIO+ENRO4 +MEL2+GENT5 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -604 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-604
"-606","S/N","Vaca","Vacia/Abierta","-606","TRUE","FALSE","6-09-23 PI NEO+ENRO4+LINA5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -606 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-606
"-618","S/N","Vaca","Vacia/Abierta","-618","TRUE","FALSE","10-10-23 PD BIOF4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -618 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-618
"-620","S/N","Vaca","Vacia/Abierta","-620","TRUE","FALSE","20-10-23 PD NEOG+ENRO2 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -620 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-620
"-621","S/N","Vaca","Vacia/Abierta","-621","TRUE","FALSE","13-07-23 AD NEO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -621 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-621
"-65","S/N","Vaca","Vacia/Abierta","-65","TRUE","FALSE","3-05-25 PD MEL4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -65 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-65
"-665","S/N","Vaca","Vacia/Abierta","-665","TRUE","FALSE","24-08-23 PD MEL4+GENT6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -665 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-665
"-668","S/N","Vaca","Vacia/Abierta","-668","TRUE","FALSE","c(""10-09-23"", ""24-05-23"") c(""PD"", ""PD"") c(""NEO4+ENRO6"", ""BIO+ENRO4+"") c(NA, ""ENLA1+MULT5"") c(NA, NA) c(NA, NA) c(NA, NA) c(NA, NA) c(NA, NA) c(""MASTITIS.csv"", ""MASTITIS.csv"") c(NA, NA) c(NA, NA) c(NA, NA) c(NA, NA) c(NA, NA) -668 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-668
"-696","S/N","Vaca","Vacia/Abierta","-696","TRUE","FALSE","24-07-23 PI NEO4+ TOTALMAS1+ENRO6 NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -696 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-696
"-699","S/N","Vaca","Vacia/Abierta","-699","TRUE","FALSE","17-09-23 PI MEL4+GENT6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -699 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-699
"-722","S/N","Vaca","Vacia/Abierta","-722","TRUE","FALSE","29-09-22 AI NEO+ENRO4+MUL5 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -722 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-722
"-728","S/N","Vaca","Vacia/Abierta","-728","TRUE","FALSE","19-08-23 AI NEO4+ENRO6 NA NA NA NA NA NA MASTITIS.csv NA NA NA NA NA -728 TRUE FALSE",NA,NA,"2025","Julio","7PULILI",-728
