"ID_Vaca","Grupo","DIM","Leche_Total","E_Prod","E_Seca","Fecha_Secado","Dias_Seca","Toro_Seca","Lact_N","E_Gest","Fecha_Insem","Toro_Ins","Tipo","Status_Repro","Status_Final","Fecha_Nac","Edad_Meses","Categoria","Toro_Padre"
"2686","14","278","42.4","Insem","0","0","0","0","0","0","22-09-25","WISEUP","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"2691","14","351","49.8","Insem","0","0","0","0","0","0","1-09-25","INDEPENDANT","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"2826","14","295","38.7","Insem","0","0","0","0","0","0","1-09-25","WISEUP","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"2924","14","374","29.7","Preñ","0","0","0","0","4","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3018","14","321","44.5","Preñ","0","0","0","0","3","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3028","14","390","31.6","Preñ","0","0","0","0","3","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3073","14","366","42.2","Insem","0","0","0","0","0","0","15-09-25","WISEUP","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3086","14","293","39.6","Insem","0","0","0","0","0","0","8-09-25","WISEUP","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3124","14","355","37","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3154","14","329","36.5","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3165","14","326","50.5","Vacia","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"3166","14","353","38.3","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3168","14","362","36.8","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3170","14","317","39.6","Insem","0","0","0","0","0","0","3-09-25","WISEUP","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3177","14","279","44.2","Insem","0","0","0","0","0","0","22-09-25","WISEUP","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3189","14","310","45.7","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3193","14","301","33.7","Insem","0","0","0","0","0","0","1-09-25","WISEUP","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3199","14","353","30.1","Insem","0","0","0","0","0","0","13-09-25","INDEPENDANT","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3202","14","291","37.8","Insem","0","0","0","0","0","0","15-09-25","WISEUP","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3205","14","346","40","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3209","14","329","42.2","Preñ","0","0","0","0","2","Preñ","0","0","VACA","VACAPREÑACTUAL","EN ORDEÑO","0","0","0","0"
"3211","14","330","34.5","Insem","0","0","0","0","0","0","1-09-25","INDEPENDANT","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3215","14","303","46.3","Insem","0","0","0","0","0","0","25-08-25","WISEUP","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"3236","14","276","37.4","Insem","0","0","0","0","0","0","22-09-25","WISEUP","VACA","INSEMINADA","EN ORDEÑO","0","0","0","0"
"2894","15","223","55","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
"2956","15","226","44.8","Alta","0","0","0","0","0","0","0","0","VACA","VACIA","EN ORDEÑO","0","0","0","0"
